Hora de muestra;CE05_IP21_552TI289 IP_ANALOGMAP
2022-01-24T02:48:01.864000Z;541,618152972254
2022-01-24T03:48:01.864000Z;547,729455854977
2022-01-24T04:48:01.864000Z;543,853127265713
2022-01-24T05:48:01.864000Z;548,731747537344
2022-01-24T06:48:01.864000Z;539,022293335035
2022-01-24T07:48:01.864000Z;539,825105692493
2022-01-24T08:48:01.864000Z;540,902833682692
2022-01-24T09:48:01.864000Z;532,868910605761
2022-01-24T10:48:01.864000Z;535,556643501031
2022-01-24T11:48:01.864000Z;530,349620157488
2022-01-24T12:48:01.864000Z;526,018333881049
2022-01-24T13:48:01.864000Z;524,191681878295
2022-01-24T14:48:01.864000Z;519,609642041691
2022-01-24T15:48:01.864000Z;524,889544219612
2022-01-24T16:48:01.864000Z;539,735872371813
2022-01-24T17:48:01.864000Z;524,503874379519
2022-01-24T18:48:01.864000Z;532,306607340017
2022-01-24T19:48:01.864000Z;529,199049263693
2022-01-24T20:48:01.864000Z;537,943047523763
2022-01-24T21:48:01.864000Z;545,417629051911
2022-01-24T22:48:01.864000Z;549,935298083044
2022-01-24T23:48:01.864000Z;550,565482391199
2022-01-25T00:48:01.864000Z;547,702519867655
2022-01-25T01:48:01.864000Z;552,774915462904
2022-01-25T02:48:01.864000Z;566,05044268763
2022-01-25T03:48:01.864000Z;560,411664375078
2022-01-25T04:48:01.864000Z;548,346399901792
2022-01-25T05:48:01.864000Z;546,97269216042
2022-01-25T06:48:01.864000Z;550,585197460003
2022-01-25T07:48:01.864000Z;552,039380911119
2022-01-25T08:48:01.864000Z;558,057063603412
2022-01-25T09:48:01.864000Z;564,474607874438
2022-01-25T10:48:01.864000Z;562,958842418861
2022-01-25T11:48:01.864000Z;561,495916024994
2022-01-25T12:48:01.864000Z;552,00033888223
2022-01-25T13:48:01.864000Z;564,303594125068
2022-01-25T14:48:01.864000Z;565,04313437883
2022-01-25T15:48:01.864000Z;570,856002278534
2022-01-25T16:48:01.864000Z;577,805866653513
2022-01-25T17:48:01.864000Z;577,930803408408
2022-01-25T18:48:01.864000Z;573,677723465812
2022-01-25T19:48:01.864000Z;561,024506021999
2022-01-25T20:48:01.864000Z;554,386080219138
2022-01-25T21:48:01.864000Z;585,447962817936
2022-01-25T22:48:01.864000Z;587,949484252022
2022-01-25T23:48:01.864000Z;590,511926231578
2022-01-26T00:48:01.864000Z;597,491869466288
2022-01-26T01:48:01.864000Z;592,079887188707
2022-01-26T02:48:01.864000Z;576,706135441583
2022-01-26T03:48:01.864000Z;580,23073766734
2022-01-26T04:48:01.864000Z;583,713113817308
2022-01-26T05:48:01.864000Z;597,567554821534
2022-01-26T06:48:01.864000Z;604,398859900503
2022-01-26T07:48:01.864000Z;596,176842083311
2022-01-26T08:48:01.864000Z;578,990473109691
2022-01-26T09:48:01.864000Z;577,310806598862
2022-01-26T10:48:01.864000Z;601,615268189293
2022-01-26T11:48:01.864000Z;590,279515239067
2022-01-26T12:48:01.864000Z;591,356020221059
2022-01-26T13:48:01.864000Z;591,496925814401
2022-01-26T14:48:01.864000Z;587,721103761259
2022-01-26T15:48:01.864000Z;589,453988638122
2022-01-26T16:48:01.864000Z;588,383923505302
2022-01-26T17:48:01.864000Z;596,194699874994
2022-01-26T18:48:01.864000Z;586,880900636185
