Fecha,CE05_IP21_552TI289 IP_ANALOGMAP
2022-01-18,517.2332028643056
2022-01-19,531.4451072665737
2022-01-20,501.82754605567897
2022-01-21,494.44864005351616
2022-01-22,489.53248154292174
2022-01-23,478.1090166756938
2022-01-24,536.626101985249
2022-01-25,563.8669610618073
2022-01-26,588.8912032186187
2022-01-27,305.5374433728896
2022-01-28,457.96084428303834
2022-01-29,484.7704701217119
2022-01-30,507.53907551303286
2022-01-31,536.1338674415789
2022-02-01,540.1623331458899
2022-02-02,501.32430963880455
2022-02-03,523.2346565399811
2022-02-04,555.555431102559
2022-02-05,574.5353956136759
2022-02-06,578.9779586778824
2022-02-07,591.3605687866699
2022-02-08,586.3481656976245
2022-02-09,578.8035894996244
2022-02-10,572.735863436641
2022-02-11,572.7567677312153
2022-02-12,571.0564101358752
2022-02-13,563.7268902236832
2022-02-14,581.6896125122347
2022-02-15,534.8856581381596
2022-02-16,533.3194141069487
2022-02-17,546.0230930689482
2022-02-18,540.3115322630853
2022-02-19,536.1110150299334
2022-02-20,524.244876039185
2022-02-21,516.3077829044211
2022-02-22,500.6095171682741
2022-02-23,471.15694659525167
2022-02-24,467.53272150453137
2022-02-25,474.09950524424625
2022-02-26,487.0999546927514
2022-02-27,485.45703785384234
2022-02-28,484.80409470622163
2022-03-01,483.1891543445543
2022-03-02,477.45649214651195
2022-03-03,484.6535944393967
2022-03-04,487.534597589622
2022-03-05,482.55810864400854
2022-03-06,479.4670961608333
2022-03-07,484.15360426941896
2022-03-08,479.35944203675626
2022-03-09,179.66556034872713
2022-03-10,64.19412731776835
2022-03-11,245.8048763491627
2022-03-12,454.66666520752955
2022-03-13,515.0398672609399
2022-03-14,534.9239280961913
2022-03-15,538.682605181666
2022-03-16,541.581864771257
2022-03-17,566.3076374354594
2022-03-18,583.3896877488576
2022-03-19,583.9464411090033
2022-03-20,589.2659829566342
2022-03-21,603.1791061287839
2022-03-22,598.7447944926171
2022-03-23,587.6703650204807
2022-03-24,594.1039803105085
2022-03-25,592.6347102921535
2022-03-26,607.1788817820075
2022-03-27,616.5292897063565
2022-03-28,615.6140597050218
2022-03-29,625.3603729107648
2022-03-30,637.3829847818587
2022-03-31,630.4926949065404
2022-04-01,630.279590863477
2022-04-02,634.0458422391288
2022-04-03,625.9537855445907
2022-04-04,630.1681793288666
2022-04-05,642.3307532350688
2022-04-06,622.2226859249855
2022-04-07,611.4139405744766
2022-04-08,608.2231683168346
2022-04-09,578.1305413987983
2022-04-10,548.7618681861311
2022-04-11,570.1796512539441
2022-04-12,571.4990767853457
2022-04-13,588.5349882260967
2022-04-14,588.6829034565231
2022-04-15,521.9044732148759
2022-04-16,199.42540175606123
2022-04-17,339.9256545059964
2022-04-18,506.7318227208419
2022-04-19,535.6775267873912
2022-04-20,568.353001909514
2022-04-21,573.7055372206617
2022-04-22,578.7819869142669
2022-04-23,585.5909052470794
2022-04-24,585.1112511450727
2022-04-25,580.0836883478822
2022-04-26,578.4815079655815
2022-04-27,589.2131670832221
2022-04-28,583.7784770717985
2022-04-29,597.8929665282548
2022-04-30,579.8458238019123
2022-05-01,492.88843739367445
2022-05-02,84.99953391381108
2022-05-03,25.760850467353247
2022-05-04,32.07336438968748
2022-05-05,48.729731751660985
2022-05-06,65.41001199591919
2022-05-07,82.09029224017739
2022-05-08,98.77057248443556
2022-05-09,115.45085272869379
2022-05-10,132.13113297295197
2022-05-11,148.81141321721012
2022-05-12,165.4916934614683
2022-05-13,182.1719737057265
2022-05-14,198.85225394998474
2022-05-15,215.5325341942429
2022-05-16,232.21281443850114
2022-05-17,248.89309468275928
2022-05-18,265.5733749270175
2022-05-19,282.25365517127574
2022-05-20,298.933935415534
2022-05-21,315.6142156597921
2022-05-22,332.2944959040503
2022-05-23,348.9747761483084
2022-05-24,365.6550563925667
2022-05-25,382.3353366368249
2022-05-26,397.6826589165161
2022-05-27,415.8666181534968
2022-05-28,430.07136361960397
2022-05-29,428.40917373468113
2022-05-30,424.43579422410585
2022-05-31,411.27782608806615
2022-06-01,416.48095356536237
2022-06-02,419.1582402068206
2022-06-03,422.3200011831836
2022-06-04,430.0483072661371
2022-06-05,436.91168833453384
2022-06-06,445.7921154302168
2022-06-07,442.7504282265104
2022-06-08,442.889404296875
2022-06-09,442.889404296875
2022-06-10,442.889404296875
2022-06-11,442.889404296875
2022-06-12,442.889404296875
2022-06-13,442.889404296875
2022-06-14,442.889404296875
2022-06-15,442.889404296875
2022-06-16,442.889404296875
2022-06-17,442.889404296875
2022-06-18,442.889404296875
2022-06-19,442.889404296875
2022-06-20,442.889404296875
2022-06-21,442.889404296875
2022-06-22,442.889404296875
2022-06-23,442.889404296875
2022-06-24,442.889404296875
2022-06-25,442.889404296875
2022-06-26,442.889404296875
2022-06-27,442.889404296875
2022-06-28,442.889404296875
2022-06-29,447.995110530236
2022-06-30,461.760690011673
2022-07-01,468.76895173583415
2022-07-02,466.9417049067965
2022-07-03,467.2440893266334
2022-07-04,479.8648891899251
2022-07-05,473.2600499208417
2022-07-06,468.9758365603089
2022-07-07,478.02488470237455
2022-07-08,470.8786362615392
2022-07-09,470.93491105549
2022-07-10,464.5337965379627
2022-07-11,489.5719969449429
2022-07-12,482.7809963964287
2022-07-13,484.1301015362271
2022-07-14,485.96466814221
2022-07-15,486.9416942347397
2022-07-16,483.62858901828923
2022-07-17,486.3837872898045
2022-07-18,481.803436407884
2022-07-19,482.84402156063265
2022-07-20,484.06882675811994
2022-07-21,500.1225301428301
2022-07-22,505.7806105015117
2022-07-23,515.7637958350268
